"Product","product_map","Category"
"aminoglycoside 6'-N-acetyltransferase AAC(6')-Iq","A66580","aminoglycoside"
"aminoglycoside 6'-N-acetyltransferase AacA34","A40222","aminoglycoside"
"aminoglycoside 6'-N-acetyltransferase AacA8","A42868","aminoglycoside"
"aminoglycoside 6-adenylyltransferase","A9550","aminoglycoside"
"aminoglycoside 6-adenylyltransferase AadE","A13748","aminoglycoside"
"aminoglycoside 6-adenylyltransferase AadE-Cc","A51375","aminoglycoside"
"aminoglycoside 6-adenylyltransferase AadK","A11523","aminoglycoside"
"aminoglycoside 6-adenylyltransferase AadS","A20061","aminoglycoside"
"aminoglycoside adenyltransferase","A67178","aminoglycoside"
"aminoglycoside adenylyltransferase","A29026","aminoglycoside"
"aminoglycoside adenylyltransferase family protein","A12308","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(2')-Ia","A12405","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(2')-Ib","A22674","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(2')-Ic","A3697","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(2')-Id","A42399","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(2')-Ie","A29790","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-Ia","A25220","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-Ib","A38873","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-Ic","A61509","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-Id","A26217","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-If","A51519","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-Ig","A56806","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-Ih","A33195","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-Ii","A55405","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-IIa","A60376","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-IId","A5989","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-IIe","A14888","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-IIg","A31741","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-IV","A41636","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-IVa","A15344","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-IVb","A52109","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-VIa","A20189","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-VIII","A52218","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-Xa","A64970","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(3)-XI","A43523","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-29a","A19590","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-29b","A46168","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-31","A30964","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Iak","A46111","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Ial","A27590","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Ian","A29803","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Ib'","A24772","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Ib11","A64205","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Ib3","A25219","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Ib4","A16073","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Ic","A46107","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Ie","A26079","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-If","A40751","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Ii","A17921","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-IIa","A27505","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-IIc","A8285","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Iid","A42903","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Iih","A26544","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Il","A24297","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Im","A36203","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Isa","A70948","aminoglycoside"
"aminoglycoside N-acetyltransferase AAC(6')-Iz","A36607","aminoglycoside"
"aminoglycoside N(3)-acetyltransferase","A24181","aminoglycoside"
"aminoglycoside N6'-acetyltransferase","A55259","aminoglycoside"
"aminoglycoside nucleotidyltransferase","A22338","aminoglycoside"
"aminoglycoside nucleotidyltransferase ANT(2'')-Ia","A12477","aminoglycoside"
"aminoglycoside nucleotidyltransferase ANT(3'')-Ib","A62314","aminoglycoside"
"aminoglycoside nucleotidyltransferase ANT(3'')-IIa","A20544","aminoglycoside"
"aminoglycoside nucleotidyltransferase ANT(3'')-IIc","A33536","aminoglycoside"
"aminoglycoside nucleotidyltransferase ANT(6)-Ia","A12512","aminoglycoside"
"aminoglycoside nucleotidyltransferase ANT(6)-Ib","A42269","aminoglycoside"
"aminoglycoside nucleotidyltransferase ANT(6)-Ig","A61607","aminoglycoside"
"aminoglycoside nucleotidyltransferase ANT(9)","A15522","aminoglycoside"
"aminoglycoside nucleotidyltransferase ANT(9)-Ia","A16996","aminoglycoside"
"aminoglycoside nucleotidyltransferase ANT4","A51540","aminoglycoside"
"aminoglycoside O-nucleotidyltransferase ANT(4')-Ia","A16903","aminoglycoside"
"aminoglycoside O-nucleotidyltransferase ANT(4')-Ib","A41755","aminoglycoside"
"aminoglycoside O-phosphotransferase","A38702","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(2'')-Ia","A16904","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(2'')-Ie","A56267","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(2'')-If","A34238","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(2'')-Ig","A23120","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(2'')-Ih","A60389","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(2'')-IIa","A36204","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(2'')-IVa","A22815","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(3'')-Ia","A7289","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(3'')-Ib","A17288","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(3')-IIa","A17782","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(3')-IIb","A22452","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(3')-IIc","A41652","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(3')-IId","A43382","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(3')-IIIa","A12514","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(3')-IVa","A61134","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(3')-Va","A52220","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(3')-VIa","A25214","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(3')-VIb","A41861","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(3')-VIIa","A37668","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(3')-VIII","A16677","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(3')-VIIIa","A55836","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(3')-XV","A29448","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(4)-Ia","A22698","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(6)-Ia","A64971","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(6)-Ib","A36100","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(6)-Ic","A23733","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(6)-Id","A17289","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(7'')-Ia","A61132","aminoglycoside"
"aminoglycoside O-phosphotransferase APH(9)-Ia","A18729","aminoglycoside"
"aminoglycoside phosphotransferase","A21021","aminoglycoside"
"aminoglycoside phosphotransferase APH(3')","A31423","aminoglycoside"
"Aminoglycoside phosphotransferase family enzyme","A65351","aminoglycoside"
"aminoglycoside phosphotransferase family protein","A833","aminoglycoside"
"aminoglycoside resistance protein","A32126","aminoglycoside"
"aminoglycoside response regulator","A64658","aminoglycoside"
"aminoglycoside response regulator cyclic di-GMP phosphodiesterase Arr","A19522","aminoglycoside"
"aminoglycoside/hydroxyurea antibiotic resistance kinase","A16683","aminoglycoside"
"aminoglycoside/multidrug efflux system","A63518","aminoglycoside;multidrug"
"aminoglycoside/multidrug transporter subunit AcrD","A41340","aminoglycoside;multidrug"
"aminoglycoside/tetracycline transporter","A4042","tetracycline resistance;aminoglycoside"
"aminoglycosides/tetracycline-transport integral membrane protein","A59295","tetracycline resistance;aminoglycoside"
"aminotriazole resistance protein","A31867","aminotriazole"
"ampicillin resistance inner membrane protein AmpE","A69527","beta-lactamase"
"AMZ family class C beta-lactamase","A66544","beta-lactamase"
"anaerobic multidrug efflux transporter","A70450","multidrug"
"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase","A50855","aminoglycoside"
"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1","A7654","aminoglycoside"
"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA10","A58705","aminoglycoside"
"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA11","A50391","aminoglycoside"
"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA13","A30273","aminoglycoside"
"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA16","A22706","aminoglycoside"
"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2","A29515","aminoglycoside"
"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA22","A45183","aminoglycoside"
"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA25","A52095","aminoglycoside"
"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA31","A25225","aminoglycoside"
"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA4","A43096","aminoglycoside"
"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5","A17310","aminoglycoside"
"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6","A27047","aminoglycoside"
"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA9","A26064","aminoglycoside"
"ANT(3'')-II family aminoglycoside nucleotidyltransferase","A20529","aminoglycoside"
"ANT(3'') family aminoglycoside nucleotidyltransferase","A24454","aminoglycoside"
"ANT(4')-I family aminoglycoside nucleotidyltransferase","A12596","aminoglycoside"
"ANT(9) family aminoglycoside nucleotidyltransferase","A39111","aminoglycoside"
"ANT(9) family aminoglycoside nucleotidyltransferase Spd","A59923","aminoglycoside"
"ANT(9) family aminoglycoside nucleotidyltransferase Spw","A17942","aminoglycoside"
"antibiotic-resistance protein","A40204","unclassified"
"antibiotic resistance macrolide glycosyltransferase","A58396","macrolide"
"antibiotic resistance protein MarC","A51675","unclassified"
"antimicrobial peptide ABC transporter ATP-binding protein","A63340","Cationic antimicrobial peptide (CAMP) resistance"
"antimicrobial peptide ABC transporter ATP-binding protein SapF","A63339","multidrug;Cationic antimicrobial peptide (CAMP) resistance"
"antimicrobial peptide ABC transporter ATPase","A22456","Cationic antimicrobial peptide (CAMP) resistance"
"antimicrobial peptide ABC transporter permease SapB","A63342","Cationic antimicrobial peptide (CAMP) resistance"
"antimicrobial peptide ABC transporter permease SapC","A63341","Cationic antimicrobial peptide (CAMP) resistance"
"antimicrobial peptide ABC transporter substrate-binding protein SapA","A63343","Cationic antimicrobial peptide (CAMP) resistance"
"antimicrobial peptide resistance and lipid A acylation PagP","A36749","Cationic antimicrobial peptide (CAMP) resistance"
"antimicrobial peptide resistance and lipid A acylation PagP family protein","A46044","Cationic antimicrobial peptide (CAMP) resistance"
"antimicrobial peptide transport ABC transporter periplasmic binding protein","A69917","Cationic antimicrobial peptide (CAMP) resistance"
"antimicrobial peptide transport ABC transporter permease","A69916","Cationic antimicrobial peptide (CAMP) resistance"
"antimicrobial resistance protein Mig-14","A1524","unclassified"
"antirepressor regulating drug resistance protein","A52514","unclassified"
"Antirepressor regulating drug resistance, predicted signal transduction N-terminal membrane component","A58558","unclassified"
"APH(2'')-Ia/If/Ih family aminoglycoside O-phosphotransferase","A31904","aminoglycoside"
"APH(2'')-Ie/IVa family aminoglycoside O-phosphotransferase","A51480","aminoglycoside"
"APH(2'')-If/Ih family aminoglycoside O-phosphotransferase","A18258","aminoglycoside"
"APH(3'') family aminoglycoside O-phosphotransferase","A16786","aminoglycoside"
"APH(3')-I family aminoglycoside O-phosphotransferase","A8291","aminoglycoside"
"APH(3')-II family aminoglycoside O-phosphotransferase","A18101","aminoglycoside"
"APH(3')-V family aminoglycoside O-phosphotransferase","A55550","aminoglycoside"
"APH(3')-VI family aminoglycoside O-phosphotransferase","A24611","aminoglycoside"
"APH(3') family aminoglycoside O-phosphotransferase AphA16","A32092","aminoglycoside"
"APH(6)-I family aminoglycoside O-phosphotransferase","A26956","aminoglycoside"
"APH(6) family putative aminoglycoside O-phosphotransferase","A19912","aminoglycoside"
"AQU family class C beta-lactamase","A38671","beta-lactamase"
"ARL family class A beta-lactamase","A59922","beta-lactamase"
"aromatic carboxylic acid efflux pump membrane fusion protein","A49140","multidrug"
"ATP-binding tunicamycin resistance protein","A52837","tunicamycin"
"AXC family carbapenem-hydrolyzing class A beta-lactamase","A56318","beta-lactamase"
"azaleucine resistance protein AzlC","A11520","azaleucine"
"bacitracin ABC efflux transporter (ATP-binding protein)","A54446","bacitracin"
"bacitracin ABC transporter ATP-binding protein","A24231","bacitracin"
"bacitracin ABC transporter ATP-binding protein BceA","A11585","bacitracin"
"bacitracin ABC transporter ATP-binding protein BcrA","A28520","bacitracin"
"bacitracin ABC transporter permease","A25446","bacitracin"
"bacitracin ABC transporter permease BceB","A11584","bacitracin"
"bacitracin ABC transporter permease BcrB","A55150","bacitracin"
"bacitracin amidohydrolase BahA","A27547","bacitracin"
"bacitracin resistance","A67908","bacitracin"
"bacitracin resistance ABC transporter ATP-binding subunit BcrA","A26802","bacitracin"
"bacitracin resistance ABC transporter permease subunit BcrB","A26801","bacitracin"
"bacitracin resistance protein","A16953","bacitracin"
"bacitracin resistance protein BacA","A33971","bacitracin"
"bacitracin resistance undecaprenyl-diphosphatase","A15809","bacitracin"
"bacitracin resistance undecaprenyl-diphosphatase BcrC","A26800","bacitracin"
"bacitracin resistance undecaprenyl-diphosphatase BcrD","A42966","bacitracin"
"bacitracin resistance undecaprenyl-diphosphatase UppP","A55151","bacitracin"
"BBI family class A beta-lactamase","A37090","beta-lactamase"
"BcII family subclass B1 metallo-beta-lactamase","A15921","beta-lactamase"
"BCL family class A beta-lactamase","A41754","beta-lactamase"
"Bcr family multidrug resistance transporter","A55198","multidrug"
"Bcr/CflA family multidrug efflux MFS transporter","A7573","multidrug"
"Bcr/CflA family multidrug efflux transporter","A51264","multidrug"
"beta-lactam resistance family protein","A63385","beta-lactamase"
"beta-lactam resistance membrane protein","A69982","beta-lactamase"
"beta-lactam resistance protein","A48040","beta-lactamase"
"beta-lactamase","A25421","beta-lactamase"
"beta-lactamase class C and other penicillin binding protein","A69209","beta-lactamase;methicillin"
"beta-lactamase class C family protein","A65080","beta-lactamase"
"beta-lactamase domain protein","A63002","beta-lactamase"
"beta-lactamase family protein","A13211","beta-lactamase"
"beta-lactamase induction protein","A32530","beta-lactamase"
"beta-lactamase induction signal transducer","A44502","beta-lactamase"
"beta-lactamase induction signal transducer protein","A28097","beta-lactamase"
"beta-lactamase inhibitor (BLIP)","A57822","beta-lactamase"
"beta-lactamase inhibitory protein BLIP","A15325","beta-lactamase"
"beta-lactamase precursor (putative hydrolase)","A53785","beta-lactamase"
"beta-lactamase regulator AmpE","A6848","beta-lactamase"
"beta-lactamase repressor","A65551","beta-lactamase"
"beta-lactamase transcriptional regulator PenR","A21528","beta-lactamase"
"beta-lactamase/D-alanine carboxypeptidase","A63773","beta-lactamase"
"beta lactamase-like protein","A59042","beta-lactamase"
"bicyclomycin resistance protein","A56814","beta-lactamase"
"bicyclomycin resistance protein (Sulfonamide resistance protein)","A55741","sulfonamide"
"bicyclomycin/multidrug efflux system","A63465","multidrug"
"bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia","A25656","aminoglycoside"
"bifunctional aminoglycoside phosphotransferase/ATP-binding protein","A3227","aminoglycoside"
"bifunctional GNAT family N-acetyltransferase/aminoglycoside 3'-phosphotransferase/choline kinase family protein","A3883","aminoglycoside"
"bifunctional O-antigen ligase/aminoglycoside phosphotransferase family protein","A27580","aminoglycoside"
"BJP family subclass B3 metallo-beta-lactamase","A28958","beta-lactamase"
"BKC/GPC family carbapenem-hydrolyzing class A beta-lactamase","A26669","beta-lactamase"
"BlaB family subclass B1 metallo-beta-lactamase","A41397","beta-lactamase"
"BlaB/IND/MUS family subclass B1 metallo-beta-lactamase","A28048","beta-lactamase"
"BlaEC family class C beta-lactamase","A7016","beta-lactamase"
"BlaL family class A beta-lactamase","A61889","beta-lactamase"
"BlaZ-like penicillin-hydrolyzing class A beta-lactamase","A37527","beta-lactamase"
"BlaZ family penicillin-hydrolyzing class A beta-lactamase PC1","A16887","beta-lactamase"
"bleomycin family antibiotic N-acetyltransferase BlmB","A60091","bleomycin"
"bleomycin hydrolase","A13617","bleomycin"
"bleomycin hydrolase (P1-like BpiA)","A64920","bleomycin"
"bleomycin resistance family protein","A10270","bleomycin"
"bleomycin resistance protein","A24831","bleomycin"
"BOR family class A beta-lactamase","A26235","beta-lactamase"
"BPU family class D beta-lactamase","A27280","beta-lactamase"
"broad-spectrum class A beta-lactamase CAE-1","A41760","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-A-11","A33384","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-A-12","A29005","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-A-17","A60292","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-A-2","A51102","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-A-3","A46866","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-A-4","A38030","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-A-5","A45353","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-B-1","A43145","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-B-16","A58802","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-B-17","A66560","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-B-2","A39727","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-B-22","A62036","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-B-24","A62210","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-B-3","A60136","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-B-36","A46209","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-B-4","A60071","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-B-41","A56978","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-B-5","A44845","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-B-6","A26962","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-B-7","A43149","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-B-8","A50737","beta-lactamase"
"broad-spectrum class A beta-lactamase OKP-C-1","A42781","beta-lactamase"
"broad-spectrum class A beta-lactamase ORN-1","A35771","beta-lactamase"
"broad-spectrum class A beta-lactamase ROB-1","A36720","beta-lactamase"
"broad-spectrum class A beta-lactamase ROB-10","A61853","beta-lactamase"
"broad-spectrum class A beta-lactamase ROB-11","A61747","beta-lactamase"
"broad-spectrum class A beta-lactamase ROB-13","A40907","beta-lactamase"
"broad-spectrum class A beta-lactamase ROB-3","A36630","beta-lactamase"
"broad-spectrum class A beta-lactamase RUB-1","A61348","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-1","A25488","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-108","A51097","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-11","A21187","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-142","A71232","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-229","A57055","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-25","A35051","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-27","A17710","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-28","A22694","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-32","A41918","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-33","A35280","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-36","A50784","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-40","A51258","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-41","A62748","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-42","A50179","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-44","A17739","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-60","A40233","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-61","A62038","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-71","A38684","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-75","A41476","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-76","A52586","beta-lactamase"
"broad-spectrum class A beta-lactamase SHV-77","A57048","beta-lactamase"
"broad-spectrum class A beta-lactamase TEM-1","A5992","beta-lactamase"
"broad-spectrum class A beta-lactamase TEM-116","A26207","beta-lactamase"
"broad-spectrum class A beta-lactamase TEM-135","A29462","beta-lactamase"
"broad-spectrum class A beta-lactamase TEM-2","A51816","beta-lactamase"
"broad-spectrum class A beta-lactamase TEM-206","A50297","beta-lactamase"
"broad-spectrum class A beta-lactamase TEM-57","A32174","beta-lactamase"
"BUT family class C beta-lactamase","A45545","beta-lactamase"
"c-di-GMP-binding multidrug transporter transcriptional regulator BrlR","A19821","multidrug"
"CAE family broad-spectrum class A beta-lactamase","A50584","beta-lactamase"
"CAR family subclass B3 metallo-beta-lactamase","A26769","beta-lactamase"
"CARB family carbenicillin-hydrolyzing class A beta-lactamase","A24435","beta-lactamase"
"CARB/PSE/RTG family carbenicillin-hydrolyzing class A beta-lactamase","A23001","beta-lactamase"
"carbapenem-hydrolyzing class A beta-lactamase","A66467","beta-lactamase"
"carbapenem-hydrolyzing class A beta-lactamase BKC-2","A24773","beta-lactamase"
"carbapenem-hydrolyzing class A beta-lactamase CRH-1","A35920","beta-lactamase"
"carbapenem-hydrolyzing class A beta-lactamase FPH-1","A57460","beta-lactamase"
"carbapenem-hydrolyzing class A beta-lactamase FRI-11","A38988","beta-lactamase"
"carbapenem-hydrolyzing class A beta-lactamase FRI-4","A14213","beta-lactamase"
"carbapenem-hydrolyzing class A beta-lactamase FRI-6","A64234","beta-lactamase"
"carbapenem-hydrolyzing class A beta-lactamase FRI-8","A62057","beta-lactamase"
