Genome,Replicon,plasmid_count,plasmid_total_size,toxin_chromosome,biofilm_chromosome,toxin_plasmid,biofilm_plasmid
GCF_000009305.1,NC_008229.1 chromosome;NC_008230.1 plasmid,1,3661,17,0,1,0
GCF_000009325.1,NC_008245.1 chromosome,0,0,4,0,0,0
GCF_000009345.1,NC_008791.1 plasmid;NC_008800.1 chromosome,1,67721,61,2,2,0
GCF_000009365.1,NC_008260.1 chromosome,0,0,2,0,0,0
GCF_000009385.1,NC_009332.1 chromosome,0,0,28,0,0,0
GCF_000009405.1,NC_012121.1 chromosome,0,0,10,0,0,0
GCF_000009425.1,NC_009004.1 chromosome,0,0,20,0,0,0
GCF_000009445.1,NC_008769.1 chromosome,0,0,139,0,0,0
GCF_000009465.1,NC_008767.1 chromosome,0,0,30,0,0,0
GCF_000009485.1,NC_011000.1 chromosome;NC_011001.1 chromosome;NC_011002.1 chromosome;NC_011003.1 plasmid,1,92661,41,0,2,0
GCF_000009505.1,NC_011294.1 chromosome,0,0,40,9,0,0
GCF_000009525.1,NC_011274.1 chromosome,0,0,39,9,0,0
GCF_000009545.1,NC_012004.1 chromosome,0,0,17,0,0,0
GCF_000009585.1,NC_017333.1 chromosome;NC_017334.1 plasmid;NC_017335.1 plasmid;NC_017336.1 plasmid,3,12785,33,0,0,0
GCF_000009605.1,NC_002252.1 plasmid;NC_002253.1 plasmid;NC_002528.1 chromosome,2,15044,0,0,0,0
GCF_000009625.1,NC_002678.2 chromosome;NC_002679.1 plasmid;NC_002682.1 plasmid,2,560226,26,0,8,0
GCF_000009645.1,NC_002745.2 chromosome;NC_003140.1 plasmid,1,24653,52,0,5,0
GCF_000009665.1,NC_002758.2 chromosome;NC_002774.1 plasmid,1,25107,52,0,2,0
GCF_000009685.1,NC_003042.1 plasmid;NC_003366.1 chromosome,1,54310,12,1,4,0
GCF_000009705.1,NC_003240.1 plasmid;NC_003241.1 plasmid;NC_003267.1 plasmid;NC_003270.1 plasmid;NC_003272.1 chromosome;NC_003273.1 plasmid;NC_003276.1 plasmid,6,798018,77,0,11,0
GCF_000009725.1,NC_000911.1 chromosome;NC_005229.1 plasmid;NC_005230.1 plasmid;NC_005231.1 plasmid;NC_005232.1 plasmid,4,373549,55,0,17,0
GCF_000009745.1,NC_005128.1 plasmid;NC_005139.1 chromosome;NC_005140.1 chromosome,1,48508,17,1,3,0
GCF_000009765.2,NC_003155.5 chromosome;NC_004719.1 plasmid,1,94287,26,0,1,0
GCF_000009785.1,NC_006509.1 plasmid;NC_006510.1 chromosome,1,47890,14,0,0,0
GCF_000009805.1,NC_006361.1 chromosome;NC_006362.1 plasmid;NC_006363.1 plasmid,2,271119,20,0,0,0
GCF_000009825.1,NC_006582.1 chromosome,0,0,14,0,0,0
GCF_000009865.1,NC_007168.1 chromosome;NC_007169.1 plasmid;NC_007170.1 plasmid;NC_007171.1 plasmid,3,12846,12,0,0,0
GCF_000009885.1,NC_006625.1 plasmid;NC_012731.1 chromosome,1,224152,34,6,4,0
GCF_000009905.1,NC_006177.1 chromosome,0,0,3,0,0,0
GCF_000009925.1,NC_006297.1 plasmid;NC_006347.1 chromosome,1,33716,18,0,1,0
GCF_000009945.1,NC_007899.1 chromosome;NC_007900.1 plasmid,1,7552,5,0,0,0
GCF_000009965.1,NC_006624.1 chromosome,0,0,44,0,0,0
GCF_000009985.1,NC_007626.1 chromosome,0,0,14,0,0,0
GCF_000010005.1,NC_010609.1 chromosome,0,0,10,0,0,0
GCF_000010025.1,NC_007705.1 chromosome,0,0,30,0,0,0
GCF_000010045.1,NC_007907.1 chromosome,0,0,53,0,0,0
GCF_000010065.1,NC_006576.1 chromosome,0,0,14,0,0,0
GCF_000010085.1,NC_007712.1 chromosome;NC_007713.1 plasmid;NC_007714.1 plasmid;NC_007715.1 plasmid,3,121356,11,3,0,0
GCF_000010105.1,NC_007486.1 plasmid;NC_007487.1 plasmid;NC_007491.1 plasmid;NC_012490.1 chromosome,3,379228,15,0,4,0
GCF_000010125.1,NC_007350.1 chromosome;NC_007351.1 plasmid;NC_007352.1 plasmid,2,61324,11,0,2,0
GCF_000010145.1,NC_010610.1 chromosome,0,0,11,0,0,0
GCF_000010165.1,NC_012491.1 chromosome,0,0,14,0,0,0
GCF_000010185.1,NC_010371.1 plasmid;NC_010376.1 chromosome,1,189163,18,0,0,0
GCF_000010205.1,NC_010793.1 chromosome,0,0,1,0,0,0
GCF_000010225.1,NC_009342.1 chromosome;NC_009343.1 plasmid,1,49120,20,0,0,0
GCF_000010265.1,NC_011836.1 plasmid;NC_011837.1 chromosome,1,59182,16,0,2,0
GCF_000010285.1,NC_010617.1 chromosome,0,0,10,0,0,0
GCF_000010305.1,NC_012489.1 chromosome,0,0,12,0,0,0
GCF_000010325.1,NC_009662.1 chromosome,0,0,6,0,0,0
GCF_000010345.1,NC_009663.1 chromosome,0,0,16,0,0,0
GCF_000010365.1,NC_008512.1 chromosome,0,0,0,0,0,0
GCF_000010385.1,NC_011407.1 plasmid;NC_011408.1 plasmid;NC_011411.1 plasmid;NC_011413.1 plasmid;NC_011415.1 chromosome;NC_011416.1 plasmid;NC_011419.1 plasmid,6,268111,80,9,14,0
GCF_000010405.1,NC_009465.1 chromosome,0,0,1,0,0,0
GCF_000010425.1,NC_008618.1 chromosome,0,0,13,0,0,0
GCF_000010445.1,NC_009782.1 chromosome,0,0,53,0,0,0
GCF_000010465.1,NC_009641.1 chromosome,0,0,50,0,0,0
GCF_000010485.1,NC_013654.1 chromosome;NC_013655.1 plasmid,1,122345,69,7,6,0
GCF_000010505.1,NC_010729.1 chromosome,0,0,3,0,0,0
GCF_000010525.1,NC_009937.1 chromosome,0,0,30,0,0,0
GCF_000010545.1,NC_010801.1 chromosome;NC_010802.1 plasmid;NC_010804.1 chromosome;NC_010805.1 chromosome,1,167422,34,0,2,0
GCF_000010585.1,NC_011995.1 plasmid;NC_011996.1 plasmid;NC_011997.1 plasmid;NC_011998.1 plasmid;NC_011999.1 chromosome;NC_012000.1 plasmid;NC_012001.1 plasmid;NC_012002.1 plasmid;NC_012003.1 plasmid,8,117413,7,0,2,0
GCF_000010605.1,NC_010572.1 chromosome,0,0,28,0,0,0
GCF_000010625.1,NC_010296.1 chromosome,0,0,209,0,0,0
GCF_000010645.1,NC_011561.1 plasmid;NC_011562.1 plasmid;NC_011563.1 plasmid;NC_011564.1 plasmid;NC_011565.1 chromosome,4,110713,3,0,2,0
GCF_000010665.1,NC_012795.1 plasmid;NC_012796.1 chromosome;NC_012797.1 plasmid,2,67571,34,0,2,0
GCF_000010685.1,NC_012207.1 chromosome,0,0,141,0,0,0
GCF_000010705.1,NC_012891.1 chromosome,0,0,20,0,0,0
GCF_000010725.1,NC_013854.1 chromosome;NC_013855.1 plasmid;NC_013856.1 plasmid;NC_013857.1 plasmid;NC_013858.1 plasmid;NC_013859.1 plasmid;NC_013860.1 plasmid,6,4288343,17,0,21,1
GCF_000010745.1,NC_013353.1 chromosome;NC_013354.1 plasmid,1,75546,98,9,9,0
GCF_000010765.1,NC_013364.1 chromosome;NC_013365.1 plasmid;NC_013366.1 plasmid;NC_013367.1 plasmid;NC_013368.1 plasmid;NC_013370.1 plasmid,5,395004,92,9,21,0
GCF_000010785.1,NC_013799.1 chromosome,0,0,2,0,0,0
GCF_000010805.1,NC_006969.2 plasmid;NC_006970.2 plasmid;NC_012520.1 plasmid;NC_012521.1 plasmid;NC_012522.1 chromosome;NC_012523.1 plasmid,5,921489,27,0,5,0
GCF_000010825.1,NC_013209.1 chromosome;NC_013210.1 plasmid;NC_013211.1 plasmid;NC_013212.1 plasmid;NC_013213.1 plasmid;NC_013214.1 plasmid;NC_013215.1 plasmid,6,432754,7,0,20,0
GCF_000010845.1,NC_017100.1 chromosome;NC_017101.1 plasmid;NC_017109.1 plasmid;NC_017118.1 plasmid;NC_017119.1 plasmid;NC_017120.1 plasmid;NC_017142.1 plasmid,6,432382,7,0,20,0
GCF_000010865.1,NC_017110.1 plasmid;NC_017121.1 chromosome;NC_017122.1 plasmid;NC_017123.1 plasmid;NC_017124.1 plasmid;NC_017143.1 plasmid;NC_017144.1 plasmid,6,432382,7,0,20,0
GCF_000010885.1,NC_017117.1 plasmid;NC_017125.1 chromosome;NC_017126.1 plasmid;NC_017127.1 plasmid;NC_017128.1 plasmid;NC_017129.1 plasmid;NC_017145.1 plasmid,6,432382,7,0,20,0
GCF_000010905.1,NC_017130.1 plasmid;NC_017131.1 plasmid;NC_017132.1 plasmid;NC_017133.1 plasmid;NC_017146.1 chromosome;NC_017147.1 plasmid;NC_017148.1 plasmid,6,432374,7,0,20,0
GCF_000010925.1,NC_017102.1 plasmid;NC_017103.1 plasmid;NC_017111.1 chromosome;NC_017112.1 plasmid;NC_017134.1 plasmid;NC_017135.1 plasmid;NC_017149.1 plasmid,6,432398,7,0,20,0
GCF_000010945.1,NC_017104.1 plasmid;NC_017105.1 plasmid;NC_017106.1 plasmid;NC_017107.1 plasmid;NC_017150.1 chromosome;NC_017151.1 plasmid;NC_017152.1 plasmid,6,432754,7,0,20,0
GCF_000010965.1,NC_017108.1 chromosome;NC_017113.1 plasmid;NC_017114.1 plasmid;NC_017115.1 plasmid;NC_017116.1 plasmid;NC_017136.1 plasmid;NC_017137.1 plasmid,6,432366,7,0,20,0
GCF_000010985.1,NC_013939.1 chromosome;NC_013940.1 plasmid,1,308544,14,0,3,0
GCF_000011005.1,NC_013665.1 chromosome,0,0,3,0,0,0
GCF_000011025.1,NC_013715.1 chromosome,0,0,12,0,0,0
GCF_000011045.1,NC_017482.1 chromosome,0,0,25,0,0,0
GCF_000011065.1,NC_004663.1 chromosome;NC_004703.1 plasmid,1,33038,10,0,0,0
GCF_000011085.1,NC_006389.1 plasmid;NC_006390.1 plasmid;NC_006391.1 plasmid;NC_006392.1 plasmid;NC_006393.1 plasmid;NC_006394.1 plasmid;NC_006395.1 plasmid;NC_006396.1 chromosome;NC_006397.1 chromosome,7,854868,10,0,1,0
GCF_000011105.1,NC_000961.1 chromosome,0,0,17,0,0,0
GCF_000011125.1,NC_000854.2 chromosome,0,0,11,0,0,0
GCF_000011145.1,NC_002570.2 chromosome,0,0,13,0,0,0
GCF_000011165.1,NC_002491.1 chromosome,0,0,4,0,0,0
GCF_000011185.1,NC_002689.2 chromosome,0,0,2,0,0,0
GCF_000011205.1,NC_003106.2 chromosome,0,0,35,0,0,0
GCF_000011225.1,NC_004432.1 chromosome,0,0,0,0,0,0
GCF_000011245.1,NC_004193.1 chromosome,0,0,9,0,0,0
GCF_000011265.1,NC_003923.1 chromosome,0,0,51,0,0,0
GCF_000011285.1,NC_004606.1 chromosome,0,0,28,0,0,0
GCF_000011305.1,NC_004319.1 plasmid;NC_004320.1 plasmid;NC_004369.1 chromosome,2,72415,13,0,2,0
GCF_000011325.1,NC_003450.3 chromosome,0,0,18,0,0,0
GCF_000011345.1,NC_004113.1 chromosome,0,0,3,0,0,0
GCF_000011365.1,NC_004463.1 chromosome,0,0,25,0,0,0
GCF_000011385.1,NC_005125.1 chromosome,0,0,74,0,0,0
GCF_000011405.1,NC_017463.1 chromosome,0,0,5,0,0,0
GCF_000011445.1,NC_005364.2 chromosome,0,0,4,0,0,0
GCF_000011465.1,NC_005072.1 chromosome,0,0,1,0,0,0
GCF_000011485.1,NC_005071.1 chromosome,0,0,5,0,0,0
GCF_000011505.1,NC_002952.2 chromosome,0,0,50,0,0,0
GCF_000011525.1,NC_002953.3 chromosome;NC_005951.1 plasmid,1,20652,47,0,4,0
GCF_000011545.1,NC_006350.1 chromosome;NC_006351.1 chromosome,0,0,30,0,0,0
GCF_000011565.2,NC_005861.2 chromosome,0,0,25,0,0,0
GCF_000011585.1,NC_005791.1 chromosome,0,0,2,0,0,0
GCF_000011605.1,NC_004547.2 chromosome,0,0,64,3,0,0
GCF_000011625.1,NC_006274.1 chromosome;NC_007103.1 plasmid;NC_007104.1 plasmid;NC_007105.1 plasmid;NC_007106.1 plasmid;NC_007107.1 plasmid,5,542320,27,1,1,0
GCF_000011645.1,NC_006270.3 chromosome,0,0,25,2,0,0
GCF_000011665.1,NC_006086.1 chromosome,0,0,29,0,0,0
GCF_000011685.1,NC_006672.1 plasmid;NC_006673.1 plasmid;NC_006674.1 plasmid;NC_006675.1 plasmid;NC_006676.1 plasmid;NC_006677.1 chromosome,5,220211,6,0,17,0
GCF_000011705.1,NC_006348.1 chromosome;NC_006349.2 chromosome,0,0,13,0,0,0
GCF_000011725.1,NC_017382.1 chromosome,0,0,4,0,0,0
GCF_000011745.1,NC_007292.1 chromosome,0,0,1,0,0,0
GCF_000011805.1,NC_006840.2 chromosome;NC_006841.2 chromosome;NC_006842.1 plasmid,1,45849,22,0,0,0
GCF_000011825.1,NC_006448.1 chromosome,0,0,13,0,0,0
GCF_000011845.1,NC_006449.1 chromosome,0,0,11,0,0,0
GCF_000011865.1,NC_003912.7 chromosome,0,0,12,0,0,0
GCF_000011885.1,NC_006511.1 chromosome,0,0,39,9,0,0
GCF_000011905.1,NC_002936.3 chromosome,0,0,2,0,0,0
GCF_000011925.1,NC_002976.3 chromosome;NC_006663.1 plasmid,1,27310,13,0,0,0
GCF_000011945.1,NC_004842.2 chromosome,0,0,2,0,0,0
GCF_000011965.2,NC_003911.12 chromosome;NC_006569.1 plasmid,1,491611,2,0,3,0
GCF_000011985.1,NC_006814.3 chromosome,0,0,16,0,0,0
GCF_000012005.1,NC_007606.1 chromosome;NC_007607.1 plasmid;NC_009344.1 plasmid,2,191679,60,7,10,1
GCF_000012025.1,NC_007608.1 plasmid;NC_007613.1 chromosome,1,126697,51,7,11,0
GCF_000012045.1,NC_002951.2 chromosome;NC_006629.2 plasmid,1,4440,45,0,0,0
GCF_000012085.2,NC_008710.1 chromosome;NZ_CP019362.1 plasmid;NZ_CP019363.1 plasmid;NZ_CP019364.1 plasmid;NZ_CP019365.1 plasmid;NZ_CP019366.1 plasmid;NZ_CP019367.1 plasmid;NZ_CP019368.1 plasmid;NZ_CP019369.1 plasmid,8,248035,3,0,0,0
GCF_000012105.1,NC_007086.1 chromosome,0,0,29,0,0,0
GCF_000012125.1,NC_007429.1 chromosome;NC_007430.1 plasmid,1,7510,5,0,0,0
GCF_000012165.2,NC_007296.2 chromosome,0,0,30,0,0,0
GCF_000012185.1,NC_007146.2 chromosome,0,0,18,0,0,0
GCF_000012205.1,NC_005773.3 chromosome;NC_007274.1 plasmid;NC_007275.1 plasmid,2,183661,34,0,19,0
GCF_000012225.1,NC_007716.1 chromosome;NC_007717.1 plasmid;NC_007718.1 plasmid;NC_007719.1 plasmid;NC_007720.1 plasmid,4,17401,2,0,0,0
GCF_000012245.1,NC_007005.1 chromosome,0,0,32,0,0,0
GCF_000012265.1,NC_004129.6 chromosome,0,0,35,0,0,0
GCF_000012285.1,NC_007181.1 chromosome,0,0,12,1,0,0
GCF_000012305.1,NC_007204.1 chromosome,0,0,9,0,0,0
GCF_000012325.1,NC_003910.7 chromosome,0,0,6,0,0,0
GCF_000012345.1,NC_007205.1 chromosome,0,0,1,0,0,0
GCF_000012365.1,NC_007650.1 chromosome;NC_007651.1 chromosome,0,0,24,0,0,0
GCF_000012385.1,NC_007940.1 chromosome,0,0,34,0,0,0
GCF_000012445.1,NC_007492.2 chromosome,0,0,42,0,0,0
GCF_000012465.1,NC_007335.2 chromosome,0,0,1,0,0,0
GCF_000012485.1,NC_007512.1 chromosome,0,0,38,0,0,0
GCF_000012505.1,NC_007513.1 chromosome,0,0,1,0,0,0
GCF_000012525.1,NC_007595.1 plasmid;NC_007604.1 chromosome,1,46366,14,0,6,0
GCF_000012545.1,NC_007681.1 chromosome,0,0,4,0,0,0
GCF_000012565.1,NC_007354.1 chromosome,0,0,2,0,0,0
GCF_000012625.1,NC_007516.1 chromosome,0,0,2,0,0,0
GCF_000012645.1,NC_007577.1 chromosome,0,0,2,0,0,0
GCF_000012665.1,NC_007519.1 chromosome,0,0,10,0,0,0
GCF_000012685.1,NC_008095.1 chromosome,0,0,18,0,0,0
GCF_000012705.1,NC_007432.1 chromosome,0,0,12,0,0,0
GCF_000012725.1,NC_007406.1 chromosome,0,0,20,0,0,0
GCF_000012745.1,NC_007404.1 chromosome,0,0,18,0,0,0
GCF_000012765.1,NC_007633.1 chromosome,0,0,1,0,0,0
